id,domain,mechanism,formal_definition,disposition,validation
M610,Profile,Bayer Direct presentation profile,"A versioned downstream display profile maps deterministic integer field samples to a finite RGB565 surface without scene, mesh, texture, shader, ray, or camera state.",ENGINEERING-DERIVED,Implemented and tested
M611,Display,Direct ANativeWindow buffer post,"Lock the next native window buffer, write bounded samples, and unlock/post; no EGL, OpenGL ES, Vulkan, or Java canvas API is imported.",ENGINEERING-DERIVED,ELF import audit PASS
M612,Packing,RGB565 hot buffer,"Use 16 bits per sample with 5/6/5 color channels, halving byte traffic relative to RGBA8888 for the requested internal surface.",RETAIN/BOUND,Runtime fallback to RGBA8888 included
M613,Resolution,480-class internal lattice,"Request width 480 in landscape and derive height from physical aspect, align to 8, and clamp to 160..320. Portrait applies the symmetric rule.",ENGINEERING-DERIVED,Implemented
M614,Display,Compositor scale handoff,Let the Android compositor scale the finite internal buffer to the physical window; internal sample count remains independent of panel pixel count.,BOUND,Requires device verification
M615,Quantization,Exact Bayer 8x8 permutation,Use the standard 64-threshold ordered matrix containing every integer 0..63 exactly once.,RETAIN,Permutation unit test PASS
M616,Quantization,Four-level palette projection,"Compute k=min(3,floor((4L+4B8)/256)) and index one of four RGB565 palette entries.",ENGINEERING-DERIVED,Implemented and deterministic
M617,Numeric,Integer-only field evaluator,"The APK hot core uses 32-bit integer arithmetic, bounded division, bitwise hashes, triangular waves, and approximate norms; no float/double functions occur.",ENGINEERING-DERIVED,Source audit PASS
M618,Persistence,Seed-tick reconstructible frame,"A frame is reconstructed from seed, tick, mode, palette, width, height, and profile version; no prior image is authoritative.",TRANSLATE,CRC regression evidence
M619,Field,Four bounded procedural programs,"Grove, shell, Kij lattice, and SCLP cone/shell modes are finite closed loops over the output lattice and auto-cycle every 450 ticks.",ENGINEERING-DERIVED,Implemented
M620,Compression,No geometry materialization,"The installable APK contains no scene pack, mesh, index buffer, material, texture, font, or artwork asset.",CORRECTED,APK entry audit PASS
M621,Query,No ray traversal or ray marching,"No ray origin, ray direction, intersection loop, sphere-trace step, depth hierarchy, or acceleration structure is present in the app hot path.",EXCLUDED,Source and symbol scan PASS
M622,Display,No graphics-API raster backend,No triangle pipeline or graphics API is linked. Pixel samples are direct field queries; the unavoidable display buffer and system compositor remain downstream.,CORRECTED/BOUND,ELF needs only libandroid and libc
M623,ABI,Single arm64-v8a target,"Ship only the 64-bit ARM ABI used by the requested modern Android target; other ABIs are source-build options, not bundled payload.",ENGINEERING-DERIVED,APK audit PASS
M624,Build,Size-first native optimization,"Compile with -Oz, LTO, hidden visibility, section GC, no build ID, no unwind tables, and stripped symbols.",ENGINEERING-DERIVED,"6,656-byte shared object"
M625,Packaging,Zero asset and DEX payload,"The APK carries only binary manifest, resource table, one arm64 shared object, and v1/v2 signature records.",ENGINEERING-DERIVED,"9,438-byte APK"
M626,Timing,30 Hz paced production and idle wait,"Post at a nominal 33,333 microsecond cadence; paused or unfocused state waits 50,000 microseconds and produces no frame.",BOUND,Physical pacing measurement pending
M627,Lifecycle,Native window ownership protocol,"Acquire on window creation, stop/join producer before release on destruction, and restart after recreation.",ENGINEERING-DERIVED,Static lifecycle implementation
M628,Validation,Deterministic frame CRC,CRC32 over RGB565 samples provides a regression checksum for fixed input state; it is not cryptographic identity.,ENGINEERING-DERIVED,Four mode CRC tests PASS
M629,Governance,Compression and performance evidence boundary,"Report exact package and host-reference metrics, but require named-device install, thermal, power, p50/p95/p99, and buffer-format evidence before promoting mobile performance claims.",RETAIN/CORRECTED,Boundary enforced in report
